(S) Susceptiveis, (E) Expostos, (I) Infectados, (R) Recuperados, (D_E) Expostos detectados, (D_I) Infectados detectados, (M) Mortes
896232,227,713,1614889,0,0,8
897807,222,699,1613332,0,0,8
899381,218,686,1611775,0,0,8
900954,214,673,1610219,0,0,8
902527,210,660,1608663,0,0,8
904098,206,648,1607108,0,0,8
905669,202,635,1605553,0,0,8
907238,199,623,1603999,0,0,8
908807,196,611,1602446,0,0,8
910375,192,600,1600893,0,0,8
911941,189,588,1599341,0,0,8
913507,186,577,1597790,0,0,8
915072,183,567,1596239,0,0,8
916635,179,556,1594689,0,0,8
918198,176,546,1593139,0,0,8
919760,173,536,1591591,0,0,8
921320,170,527,1590043,0,0,8
922880,167,517,1588496,0,0,8
924438,164,508,1586949,0,0,8
925996,162,499,1585404,0,0,8
927552,159,489,1583859,0,0,8
929107,157,481,1582315,0,0,8
930662,154,472,1580772,0,0,8
932215,152,464,1579230,0,0,8
933767,149,456,1577689,0,0,8
935318,146,448,1576148,0,0,8
936867,144,440,1574609,0,0,8
938416,142,432,1573070,0,0,8
939963,139,425,1571532,0,0,8
941510,137,418,1569996,0,0,8
943055,135,410,1568460,0,0,8
944599,133,403,1566925,0,0,8
946141,131,396,1565391,0,0,8
947683,129,390,1563858,0,0,8
949224,127,383,1562327,0,0,8
950763,125,377,1560796,0,0,8
952301,123,370,1559266,0,0,8
953838,121,364,1557737,0,0,8
955373,119,358,1556209,0,0,8
956908,117,353,1554682,0,0,8
958441,115,347,1553157,0,0,8
959973,114,341,1551632,0,0,8
961504,112,335,1550109,0,0,8
963033,110,330,1548586,0,0,8
964562,109,325,1547065,0,0,8
966089,107,319,1545545,0,0,8
967615,106,314,1544025,0,0,8
969139,104,309,1542507,0,0,8
970663,102,304,1540990,0,0,8
972185,101,300,1539475,0,0,8
973706,99,295,1537960,0,0,8
975225,98,291,1536446,0,0,8
976744,96,286,1534934,0,0,8
978261,95,282,1533423,0,0,8
979776,94,277,1531913,0,0,8
981291,92,273,1530404,0,0,8
982804,91,269,1528896,0,0,8
984316,90,265,1527389,0,0,8
985827,89,261,1525884,0,0,8
987336,87,257,1524380,0,0,8
988844,86,253,1522877,0,0,8
990351,85,249,1521375,0,0,8
991856,84,246,1519874,0,0,8
993360,83,242,1518375,0,0,8
994863,81,239,1516877,0,0,8
996365,80,235,1515380,0,0,8
997865,79,232,1513884,0,0,8
999364,78,228,1512389,0,0,8
1000862,77,225,1510896,0,0,8
1002358,76,222,1509404,0,0,8
1003853,75,218,1507913,0,0,8
1005347,74,215,1506424,0,0,8
1006839,73,212,1504935,0,0,8
1008330,72,209,1503448,0,0,8
1009820,71,207,1501962,0,0,8
1011308,70,204,1500478,0,0,8
1012795,69,201,1498994,0,0,8
1014281,69,198,1497512,0,0,8
1015765,68,196,1496031,0,0,8
1017249,67,193,1494552,0,0,8
1018730,66,190,1493073,0,0,8
1020211,65,188,1491596,0,0,8
1021690,65,185,1490121,0,0,8
1023168,64,183,1488646,0,0,8
1024644,63,180,1487173,0,0,8
1026119,62,178,1485701,0,0,8
1027593,61,176,1484230,0,0,8
1029065,61,173,1482761,0,0,8
1030536,60,171,1481293,0,0,8
1032006,59,169,1479826,0,0,8
1033474,58,167,1478360,0,0,8
1034941,58,165,1476896,0,0,8
1036407,57,162,1475433,0,0,8
1037871,57,160,1473972,0,0,8
1039334,56,158,1472511,0,0,8
1040796,55,156,1471052,0,0,8
1042256,55,155,1469595,0,0,8
1043715,54,153,1468138,0,0,8
1045173,53,151,1466683,0,0,8
1046629,53,149,1465229,0,0,8
1048084,52,147,1463777,0,0,8
1049538,52,145,1462325,0,0,8
1050990,51,144,1460876,0,0,8
1052441,50,142,1459427,0,0,8
1053890,50,140,1457980,0,0,8
1055338,49,139,1456534,0,0,8
1056785,49,137,1455089,0,0,8
1058231,48,135,1453646,0,0,8
1059675,48,134,1452204,0,0,8
1061117,47,132,1450763,0,0,8
1062559,47,131,1449324,0,0,8
1063999,46,129,1447886,0,0,8
1065438,46,128,1446449,0,0,8
1066875,45,126,1445013,0,0,8
1068311,45,125,1443579,0,0,8
1069745,44,124,1442146,0,0,8
1071179,44,122,1440715,0,0,8
1072611,44,121,1439285,0,0,8
1074041,43,120,1437856,0,0,8
1075470,43,118,1436429,0,0,8
1076898,42,117,1435002,0,0,8
1078325,42,116,1433578,0,0,8
1079750,41,115,1432154,0,0,8
1081174,41,113,1430732,0,0,8
1082596,41,112,1429311,0,0,8
1084017,40,111,1427891,0,0,8
1085437,40,110,1426473,0,0,8
1086856,39,109,1425056,0,0,8
1088273,39,108,1423641,0,0,8
1089688,39,107,1422226,0,0,8
1091103,38,105,1420813,0,0,8
1092516,38,104,1419402,0,0,8
1093927,38,103,1417992,0,0,8
1095338,37,102,1416583,0,0,8
1096747,37,101,1415175,0,0,8
1098154,37,100,1413769,0,0,8
1099560,36,99,1412364,0,0,8
1100965,36,98,1410960,0,0,8
1102369,36,98,1409558,0,0,8
1103771,35,97,1408157,0,0,8
1105172,35,96,1406757,0,0,8
1106572,35,95,1405359,0,0,8
1107970,35,94,1403962,0,0,8
1109367,34,93,1402566,0,0,8
1110762,34,92,1401172,0,0,8
1112156,34,91,1399779,0,0,8
1113549,33,91,1398387,0,0,8
1114940,33,90,1396997,0,0,8
1116331,33,89,1395608,0,0,8
1117719,33,88,1394220,0,0,8
1119107,32,87,1392833,0,0,8
1120493,32,87,1391448,0,0,8
1121878,32,86,1390065,0,0,8
1123261,32,85,1388682,0,0,8
1124643,31,84,1387301,0,0,8
1126024,31,84,1385921,0,0,8
1127403,31,83,1384543,0,0,8
1128781,31,82,1383166,0,0,8
1130158,30,82,1381790,0,0,8
1131534,30,81,1380415,0,0,8
1132908,30,80,1379042,0,0,8
1134280,30,80,1377670,0,0,8
1135652,30,79,1376300,0,0,8
1137022,29,78,1374931,0,0,8
1138391,29,78,1373563,0,0,8
1139758,29,77,1372196,0,0,8
1141124,29,76,1370831,0,0,8
1142489,29,76,1369467,0,0,8
1143852,28,75,1368104,0,0,8
1145214,28,75,1366743,0,0,8
